# Momentum, Angular Momentum
# origin      : (0.000000e+00 0.000000e+00 0.000000e+00)
# axis        : (1.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	(momentum_x momentum_y momentum_z)	(momentum_r momentum_rtheta momentum_axis)	volume        
2             	(1.466551e-02 -5.717481e-06 4.808483e-05)	(4.391356e-06 9.369090e-06 1.466551e-02)	9.378700e-02
4             	(1.302963e-02 -7.982378e-06 -5.024878e-05)	(-3.015698e-05 1.293140e-05 1.302963e-02)	9.378700e-02
6             	(4.338002e-03 1.456033e-05 1.817432e-05)	(-4.291342e-05 3.113238e-06 4.338002e-03)	9.378700e-02
8             	(1.094553e-02 8.738248e-07 4.932757e-05)	(-3.824507e-06 1.152417e-05 1.094553e-02)	9.378700e-02
10            	(1.056505e-02 -1.336040e-05 -3.431192e-05)	(-2.843833e-05 1.270894e-05 1.056505e-02)	9.378700e-02
12            	(8.081042e-03 8.964962e-06 1.147351e-05)	(-3.668569e-05 1.007808e-05 8.081042e-03)	9.378700e-02
14            	(9.725181e-03 3.828562e-06 2.641087e-05)	(-1.908753e-05 1.257754e-05 9.725181e-03)	9.378700e-02
16            	(9.795644e-03 -7.145359e-06 -1.019904e-05)	(-2.988085e-05 1.353835e-05 9.795644e-03)	9.378700e-02
18            	(9.035840e-03 3.130080e-06 6.068380e-06)	(-3.555713e-05 1.317457e-05 9.035840e-03)	9.378700e-02
20            	(9.460407e-03 2.603989e-06 1.365541e-05)	(-2.933330e-05 1.405399e-05 9.460407e-03)	9.378700e-02
22            	(9.536452e-03 -2.649240e-06 -1.543136e-07)	(-3.313325e-05 1.459110e-05 9.536452e-03)	9.378700e-02
24            	(9.312403e-03 8.235887e-07 4.735355e-06)	(-3.657745e-05 1.469230e-05 9.312403e-03)	9.378700e-02
26            	(9.406043e-03 1.237698e-06 7.984171e-06)	(-3.509386e-05 1.506092e-05 9.406043e-03)	9.378700e-02
28            	(9.443908e-03 -6.885034e-07 3.149826e-06)	(-3.667423e-05 1.534146e-05 9.443908e-03)	9.378700e-02
30            	(9.381940e-03 2.510937e-07 4.290607e-06)	(-3.851212e-05 1.547928e-05 9.381940e-03)	9.378700e-02
32            	(9.395611e-03 5.623829e-07 5.536938e-06)	(-3.865626e-05 1.565665e-05 9.395611e-03)	9.378700e-02
34            	(9.416507e-03 -7.263355e-08 4.058271e-06)	(-3.964571e-05 1.581175e-05 9.416507e-03)	9.378700e-02
36            	(9.398948e-03 1.107231e-07 4.021518e-06)	(-4.081724e-05 1.590695e-05 9.398948e-03)	9.378700e-02
38            	(9.394851e-03 3.000067e-07 4.427001e-06)	(-4.128695e-05 1.599190e-05 9.394851e-03)	9.378700e-02
40            	(9.403530e-03 1.185808e-07 4.013213e-06)	(-4.198847e-05 1.606761e-05 9.403530e-03)	9.378700e-02
42            	(9.401939e-03 1.106247e-07 3.830224e-06)	(-4.280861e-05 1.611836e-05 9.401939e-03)	9.378700e-02
44            	(9.397643e-03 2.152375e-07 3.900782e-06)	(-4.333545e-05 1.615389e-05 9.397643e-03)	9.378700e-02
46            	(9.398421e-03 2.186021e-07 3.786760e-06)	(-4.379856e-05 1.618298e-05 9.398421e-03)	9.378700e-02
48            	(9.399132e-03 1.735612e-07 3.597683e-06)	(-4.436476e-05 1.620369e-05 9.399132e-03)	9.378700e-02
50            	(9.398260e-03 2.064197e-07 3.543284e-06)	(-4.481884e-05 1.621658e-05 9.398260e-03)	9.378700e-02
52            	(9.397226e-03 2.525051e-07 3.499594e-06)	(-4.517278e-05 1.622454e-05 9.397226e-03)	9.378700e-02
54            	(9.397547e-03 2.695092e-07 3.422576e-06)	(-4.551681e-05 1.623101e-05 9.397547e-03)	9.378700e-02
56            	(9.397180e-03 2.745631e-07 3.326791e-06)	(-4.584277e-05 1.623388e-05 9.397180e-03)	9.378700e-02
58            	(9.396643e-03 3.047411e-07 3.269752e-06)	(-4.609247e-05 1.623459e-05 9.396643e-03)	9.378700e-02
60            	(9.396401e-03 3.380547e-07 3.231095e-06)	(-4.629759e-05 1.623410e-05 9.396401e-03)	9.378700e-02
62            	(9.396350e-03 3.655456e-07 3.191983e-06)	(-4.648305e-05 1.623206e-05 9.396350e-03)	9.378700e-02
64            	(9.395985e-03 3.852081e-07 3.140423e-06)	(-4.664239e-05 1.622774e-05 9.395985e-03)	9.378700e-02
66            	(9.395981e-03 4.106215e-07 3.107451e-06)	(-4.676842e-05 1.622292e-05 9.395981e-03)	9.378700e-02
67            	(9.395776e-03 4.243730e-07 3.094480e-06)	(-4.682159e-05 1.621999e-05 9.395776e-03)	9.378700e-02
