# Time        	cpuTime       	clockTime     	cpu/step      	clock/step    
1             	2.500000e-01	0.000000e+00	2.500000e-01	0.000000e+00
2             	6.100000e-01	1.000000e+00	3.600000e-01	1.000000e+00
3             	7.000000e-01	1.000000e+00	9.000000e-02	0.000000e+00
4             	1.050000e+00	1.000000e+00	3.500000e-01	0.000000e+00
5             	1.140000e+00	1.000000e+00	9.000000e-02	0.000000e+00
6             	1.500000e+00	2.000000e+00	3.600000e-01	1.000000e+00
7             	1.580000e+00	2.000000e+00	8.000000e-02	0.000000e+00
8             	1.950000e+00	2.000000e+00	3.700000e-01	0.000000e+00
9             	2.030000e+00	2.000000e+00	8.000000e-02	0.000000e+00
10            	2.390000e+00	3.000000e+00	3.600000e-01	1.000000e+00
11            	2.470000e+00	3.000000e+00	8.000000e-02	0.000000e+00
12            	2.840000e+00	3.000000e+00	3.700000e-01	0.000000e+00
13            	2.930000e+00	3.000000e+00	9.000000e-02	0.000000e+00
14            	3.290000e+00	3.000000e+00	3.600000e-01	0.000000e+00
15            	3.370000e+00	4.000000e+00	8.000000e-02	1.000000e+00
16            	3.750000e+00	4.000000e+00	3.800000e-01	0.000000e+00
17            	3.830000e+00	4.000000e+00	8.000000e-02	0.000000e+00
18            	4.200000e+00	4.000000e+00	3.700000e-01	0.000000e+00
19            	4.280000e+00	4.000000e+00	8.000000e-02	0.000000e+00
20            	4.640000e+00	5.000000e+00	3.600000e-01	1.000000e+00
21            	4.720000e+00	5.000000e+00	8.000000e-02	0.000000e+00
22            	5.100000e+00	5.000000e+00	3.800000e-01	0.000000e+00
23            	5.180000e+00	5.000000e+00	8.000000e-02	0.000000e+00
24            	5.540000e+00	6.000000e+00	3.600000e-01	1.000000e+00
25            	5.630000e+00	6.000000e+00	9.000000e-02	0.000000e+00
26            	6.000000e+00	6.000000e+00	3.700000e-01	0.000000e+00
27            	6.080000e+00	6.000000e+00	8.000000e-02	0.000000e+00
28            	6.450000e+00	7.000000e+00	3.700000e-01	1.000000e+00
29            	6.530000e+00	7.000000e+00	8.000000e-02	0.000000e+00
30            	6.890000e+00	7.000000e+00	3.600000e-01	0.000000e+00
31            	6.970000e+00	7.000000e+00	8.000000e-02	0.000000e+00
32            	7.330000e+00	8.000000e+00	3.600000e-01	1.000000e+00
33            	7.400000e+00	8.000000e+00	7.000000e-02	0.000000e+00
34            	7.760000e+00	8.000000e+00	3.600000e-01	0.000000e+00
35            	7.850000e+00	8.000000e+00	9.000000e-02	0.000000e+00
36            	8.200000e+00	8.000000e+00	3.500000e-01	0.000000e+00
37            	8.280000e+00	8.000000e+00	8.000000e-02	0.000000e+00
38            	8.640000e+00	9.000000e+00	3.600000e-01	1.000000e+00
39            	8.710000e+00	9.000000e+00	7.000000e-02	0.000000e+00
40            	9.080000e+00	9.000000e+00	3.700000e-01	0.000000e+00
41            	9.150000e+00	9.000000e+00	7.000000e-02	0.000000e+00
42            	9.510000e+00	1.000000e+01	3.600000e-01	1.000000e+00
43            	9.590000e+00	1.000000e+01	8.000000e-02	0.000000e+00
44            	9.940000e+00	1.000000e+01	3.500000e-01	0.000000e+00
45            	1.002000e+01	1.000000e+01	8.000000e-02	0.000000e+00
46            	1.037000e+01	1.100000e+01	3.500000e-01	1.000000e+00
47            	1.045000e+01	1.100000e+01	8.000000e-02	0.000000e+00
48            	1.081000e+01	1.100000e+01	3.600000e-01	0.000000e+00
49            	1.089000e+01	1.100000e+01	8.000000e-02	0.000000e+00
50            	1.124000e+01	1.100000e+01	3.500000e-01	0.000000e+00
51            	1.131000e+01	1.200000e+01	7.000000e-02	1.000000e+00
52            	1.167000e+01	1.200000e+01	3.600000e-01	0.000000e+00
53            	1.174000e+01	1.200000e+01	7.000000e-02	0.000000e+00
54            	1.210000e+01	1.200000e+01	3.600000e-01	0.000000e+00
55            	1.218000e+01	1.200000e+01	8.000000e-02	0.000000e+00
56            	1.253000e+01	1.300000e+01	3.500000e-01	1.000000e+00
57            	1.260000e+01	1.300000e+01	7.000000e-02	0.000000e+00
58            	1.296000e+01	1.300000e+01	3.600000e-01	0.000000e+00
59            	1.304000e+01	1.300000e+01	8.000000e-02	0.000000e+00
60            	1.338000e+01	1.400000e+01	3.400000e-01	1.000000e+00
61            	1.345000e+01	1.400000e+01	7.000000e-02	0.000000e+00
62            	1.382000e+01	1.400000e+01	3.700000e-01	0.000000e+00
63            	1.389000e+01	1.400000e+01	7.000000e-02	0.000000e+00
64            	1.424000e+01	1.400000e+01	3.500000e-01	0.000000e+00
65            	1.431000e+01	1.500000e+01	7.000000e-02	1.000000e+00
66            	1.467000e+01	1.500000e+01	3.600000e-01	0.000000e+00
67            	1.501000e+01	1.500000e+01	3.400000e-01	0.000000e+00
